epoch,lr,train_loss,train_ce_loss,train_routing_loss,train_acc,val_loss,val_acc,train_router_entropy,val_router_entropy,epoch_time_s,peak_memory_gb
1,5e-05,4.703457027435303,4.703457027435303,0.0,1.3,4.6718359375,0.8,0.0,0.0,2.0577118396759033,4.09111213684082
2,0.0001,4.609984382629395,4.609984382629395,0.0,1.3,4.552667976379395,2.4,0.0,0.0,2.0491132736206055,4.09111213684082
3,0.00015,4.45255078125,4.45255078125,0.0,3.0,4.381750007629394,5.1,0.0,0.0,2.1434903144836426,4.09111213684082
4,0.0002,4.2487382850646975,4.2487382850646975,0.0,10.9,4.155156246185303,13.5,0.0,0.0,2.080332040786743,4.09111213684082
5,0.00025,4.0032890625,4.0032890625,0.0,22.400000000000002,3.8771230430603025,25.900000000000002,0.0,0.0,2.0699446201324463,4.09111213684082
6,0.0003,3.701298828125,3.701298828125,0.0,36.1,3.5499199237823484,38.9,0.0,0.0,2.090545415878296,4.09111213684082
7,0.00035,3.360760738372803,3.360760738372803,0.0,45.7,3.1823710956573485,48.0,0.0,0.0,2.0551891326904297,4.09111213684082
8,0.0004,2.953482421875,2.953482421875,0.0,56.00000000000001,2.7825742149353028,53.7,0.0,0.0,2.062880516052246,4.09111213684082
9,0.00045000000000000004,2.5291625957489012,2.5291625957489012,0.0,61.7,2.3718911113739014,61.8,0.0,0.0,2.0495662689208984,4.09111213684082
10,0.0005,2.1241472206115724,2.1241472206115724,0.0,66.60000000000001,2.0081196269989015,65.0,0.0,0.0,2.025052309036255,4.09111213684082
11,0.0004998477067547739,1.7693774423599242,1.7693774423599242,0.0,71.0,1.7337734394073487,67.7,0.0,0.0,2.1623623371124268,4.09111213684082
12,0.0004993910125649561,1.5780482187271119,1.5780482187271119,0.0,73.7,1.5308588848114013,69.6,0.0,0.0,2.1309056282043457,4.09111213684082
13,0.0004986304738420684,1.415174711227417,1.415174711227417,0.0,74.8,1.3798571786880494,70.89999999999999,0.0,0.0,2.1400558948516846,4.09111213684082
14,0.0004975670171853926,1.1775071430206299,1.1775071430206299,0.0,78.3,1.2872739114761353,71.7,0.0,0.0,2.067606210708618,4.09111213684082
15,0.000496201938253052,1.1252620544433594,1.1252620544433594,0.0,78.60000000000001,1.2097925128936768,72.1,0.0,0.0,2.03444766998291,4.09111213684082
