epoch,lr,train_loss,train_ce_loss,train_routing_loss,train_acc,val_loss,val_acc,train_router_entropy,val_router_entropy,epoch_time_s,peak_memory_gb
1,0.0001,4.6714652117560895,4.6714652117560895,0.0,2.156862745098039,4.619992708692363,3.3333333333333335,0.0,0.0,3.0326550006866455,10.478225708007812
2,0.0002,4.530528102201574,4.530528102201574,0.0,3.823529411764706,4.447700264874626,5.88235294117647,0.0,0.0,2.3146004676818848,10.478225708007812
3,0.0003,4.316890716552734,4.316890716552734,0.0,8.72549019607843,4.19723689883363,14.803921568627452,0.0,0.0,2.341265916824341,10.478225708007812
4,0.0004,4.020071229747697,4.020071229747697,0.0,24.901960784313726,3.837191733191995,30.784313725490197,0.0,0.0,2.2406561374664307,10.478225708007812
5,0.0005,3.5585257633059633,3.5585257633059633,0.0,46.1764705882353,3.33216815181807,49.6078431372549,0.0,0.0,2.177058458328247,10.478225708007812
6,0.0006,2.977544801375445,2.977544801375445,0.0,62.94117647058823,2.715140064089906,65.58823529411765,0.0,0.0,2.187901496887207,10.478225708007812
7,0.0007,2.337956206003825,2.337956206003825,0.0,74.41176470588235,2.1102438534007355,72.25490196078431,0.0,0.0,2.2807207107543945,10.478225708007812
8,0.0008,1.756061268787758,1.756061268787758,0.0,80.88235294117648,1.5871106979893703,78.62745098039215,0.0,0.0,2.160479784011841,10.478225708007812
9,0.0009000000000000001,1.2537172261406393,1.2537172261406393,0.0,88.52941176470588,1.1782618190727983,84.90196078431373,0.0,0.0,2.195882558822632,10.478225708007812
10,0.001,0.8593442570929434,0.8593442570929434,0.0,91.96078431372548,0.8783796277700686,89.6078431372549,0.0,0.0,2.225389242172241,10.478225708007812
11,0.0009996954135095479,0.5925779777414658,0.5925779777414658,0.0,95.0,0.6737563963029899,91.56862745098039,0.0,0.0,2.177578926086426,10.478225708007812
12,0.0009987820251299122,0.42444680859060846,0.42444680859060846,0.0,95.7843137254902,0.5703753102059458,90.98039215686275,0.0,0.0,2.186662435531616,10.478225708007812
13,0.0009972609476841367,0.34297969645144893,0.34297969645144893,0.0,96.07843137254902,0.4685782974841548,92.84313725490196,0.0,0.0,2.246094226837158,10.478225708007812
14,0.0009951340343707852,0.24167561332384746,0.24167561332384746,0.0,97.45098039215686,0.4311056168640361,92.74509803921569,0.0,0.0,2.255498170852661,10.478225708007812
15,0.000992403876506104,0.21637826807358684,0.21637826807358684,0.0,97.15686274509804,0.3953738366856295,92.94117647058823,0.0,0.0,2.347494125366211,10.478225708007812
16,0.0009890738003669028,0.17463447790519865,0.17463447790519865,0.0,98.33333333333333,0.37580185333887733,93.52941176470588,0.0,0.0,2.2602128982543945,10.478225708007812
