epoch,lr,train_loss,train_ce_loss,train_routing_loss,train_acc,val_loss,val_acc,train_router_entropy,val_router_entropy,epoch_time_s,peak_memory_gb
1,5e-05,4.695712882995606,4.695712882995606,0.0,0.8,4.673378913879395,0.8999999999999999,0.0,0.0,2.025446653366089,3.853698253631592
2,0.0001,4.606375,4.606375,0.0,1.7999999999999998,4.567017570495605,1.6,0.0,0.0,2.0906009674072266,3.853698253631592
3,0.00015,4.471408195495606,4.471408195495606,0.0,3.1,4.4132890625,4.8,0.0,0.0,2.0886237621307373,3.853698253631592
4,0.0002,4.287716789245605,4.287716789245605,0.0,9.3,4.212441410064697,11.600000000000001,0.0,0.0,2.1243269443511963,3.853698253631592
5,0.00025,4.062601570129394,4.062601570129394,0.0,18.7,3.9667148456573487,20.3,0.0,0.0,2.1295557022094727,3.853698253631592
6,0.0003,3.803708984375,3.803708984375,0.0,31.3,3.682443359375,32.300000000000004,0.0,0.0,2.185387372970581,3.853698253631592
7,0.00035,3.4951181659698487,3.4951181659698487,0.0,41.699999999999996,3.3641494159698486,41.6,0.0,0.0,2.1120176315307617,3.853698253631592
8,0.0004,3.1299062480926514,3.1299062480926514,0.0,51.7,3.0135058631896974,50.0,0.0,0.0,2.0664169788360596,3.853698253631592
9,0.00045000000000000004,2.7301918964385985,2.7301918964385985,0.0,60.199999999999996,2.6405239238739013,55.400000000000006,0.0,0.0,2.150703191757202,3.853698253631592
10,0.0005,2.3367443828582766,2.3367443828582766,0.0,64.8,2.285449222564697,59.9,0.0,0.0,2.0788381099700928,3.853698253631592
11,0.0004998477067547739,1.972586181640625,1.972586181640625,0.0,69.1,2.000006591796875,63.1,0.0,0.0,2.1168978214263916,3.853698253631592
12,0.0004993910125649561,1.7380586547851562,1.7380586547851562,0.0,72.5,1.7727152109146118,65.9,0.0,0.0,2.117433786392212,3.853698253631592
13,0.0004986304738420684,1.552882999420166,1.552882999420166,0.0,72.89999999999999,1.6006369037628174,67.7,0.0,0.0,2.18463134765625,3.853698253631592
14,0.0004975670171853926,1.315369354248047,1.315369354248047,0.0,77.3,1.4766452922821045,68.30000000000001,0.0,0.0,2.1646125316619873,3.853698253631592
15,0.000496201938253052,1.2272292490005494,1.2272292490005494,0.0,79.0,1.3788753356933594,69.5,0.0,0.0,2.0764100551605225,3.853698253631592
16,0.0004945369001834514,1.1418771352767945,1.1418771352767945,0.0,77.9,1.300445372581482,70.3,0.0,0.0,2.0969715118408203,3.853698253631592
17,0.0004925739315689991,1.1110465230941773,1.1110465230941773,0.0,77.60000000000001,1.2377014923095704,70.7,0.0,0.0,2.16971755027771,3.853698253631592
18,0.0004903154239845797,0.9903234567642212,0.9903234567642212,0.0,81.0,1.1936381826400757,71.1,0.0,0.0,2.1548550128936768,3.853698253631592
19,0.0004877641290737884,0.9371236133575439,0.9371236133575439,0.0,81.89999999999999,1.156929793357849,71.5,0.0,0.0,2.1367805004119873,3.853698253631592
20,0.0004849231551964771,0.8999346990585327,0.8999346990585327,0.0,81.8,1.1310964193344115,72.1,0.0,0.0,2.084578275680542,3.853698253631592
21,0.00048179596364169685,0.8668217792510986,0.8668217792510986,0.0,82.19999999999999,1.1050818042755126,71.89999999999999,0.0,0.0,2.072453737258911,3.853698253631592
22,0.0004783863644106502,0.7922594113349914,0.7922594113349914,0.0,84.7,1.0822211084365845,71.5,0.0,0.0,2.1345975399017334,3.853698253631592
23,0.00047469851157479177,0.7634890666007995,0.7634890666007995,0.0,84.8,1.0634255895614624,72.3,0.0,0.0,2.027674674987793,3.853698253631592
24,0.00047073689821473173,0.7634584131240845,0.7634584131240845,0.0,84.8,1.0498244609832763,71.89999999999999,0.0,0.0,2.159945011138916,3.853698253631592
25,0.00046650635094610973,0.7440638918876648,0.7440638918876648,0.0,84.0,1.0384324045181275,72.39999999999999,0.0,0.0,2.179342031478882,3.853698253631592
