epoch,lr,train_loss,train_ce_loss,train_routing_loss,train_acc,val_loss,val_acc,train_router_entropy,val_router_entropy,epoch_time_s,peak_memory_gb
1,5e-05,4.703566402435302,4.703566402435302,0.0,1.2,4.674359371185303,0.8,0.0,0.0,2.1045193672180176,3.597926139831543
2,0.0001,4.614871086120606,4.614871086120606,0.0,1.4000000000000001,4.560064449310302,2.4,0.0,0.0,2.100961446762085,3.597926139831543
3,0.00015,4.463275394439697,4.463275394439697,0.0,2.8000000000000003,4.3950566482543945,4.9,0.0,0.0,2.0607736110687256,3.597926139831543
4,0.0002,4.265468746185303,4.265468746185303,0.0,9.700000000000001,4.171224609375,13.5,0.0,0.0,2.058638334274292,3.597926139831543
5,0.00025,4.012521488189697,4.012521488189697,0.0,22.1,3.867568361282349,25.7,0.0,0.0,2.0655956268310547,3.597926139831543
6,0.0003,3.661841794967651,3.661841794967651,0.0,34.9,3.4642109413146973,38.7,0.0,0.0,2.0449697971343994,3.597926139831543
7,0.00035,3.2361113300323487,3.2361113300323487,0.0,44.0,2.959008792877197,48.199999999999996,0.0,0.0,2.096006393432617,3.597926139831543
8,0.0004,2.7350537071228027,2.7350537071228027,0.0,52.5,2.4465166034698487,55.00000000000001,0.0,0.0,2.1749842166900635,3.597926139831543
9,0.00045000000000000004,2.285324466705322,2.285324466705322,0.0,59.3,2.038029544830322,62.4,0.0,0.0,2.061703681945801,3.597926139831543
10,0.0005,1.893879759788513,1.893879759788513,0.0,64.1,1.722835816383362,66.2,0.0,0.0,2.069678783416748,3.597926139831543
11,0.0004998477067547739,1.566487000465393,1.566487000465393,0.0,69.6,1.4902803325653076,69.5,0.0,0.0,2.1244795322418213,3.597926139831543
12,0.0004993910125649561,1.4039112558364868,1.4039112558364868,0.0,71.5,1.3316089162826539,70.89999999999999,0.0,0.0,2.1245079040527344,3.597926139831543
13,0.0004986304738420684,1.2797433433532714,1.2797433433532714,0.0,73.6,1.2174362192153931,71.8,0.0,0.0,2.164219379425049,3.597926139831543
14,0.0004975670171853926,1.0548161773681641,1.0548161773681641,0.0,78.4,1.1366060190200806,72.7,0.0,0.0,2.0443716049194336,3.597926139831543
15,0.000496201938253052,1.0058141946792603,1.0058141946792603,0.0,78.8,1.0855442638397217,72.5,0.0,0.0,2.099862813949585,3.597926139831543
16,0.0004945369001834514,0.9550116038322449,0.9550116038322449,0.0,78.2,1.0239163227081298,74.4,0.0,0.0,2.0792274475097656,3.597926139831543
17,0.0004925739315689991,0.9308748178482056,0.9308748178482056,0.0,78.2,0.9950633945465088,74.2,0.0,0.0,2.1941962242126465,3.597926139831543
18,0.0004903154239845797,0.8233201146125794,0.8233201146125794,0.0,81.2,0.9622815923690796,75.0,0.0,0.0,2.1120259761810303,3.597926139831543
